"website_id","session_id","event_id","url_path","event_name","data_key","string_value","number_value","date_value","data_type","created_at","job_id"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","99c7f38f-e9cb-5db6-aa27-7bf634850975","c2d54d29-1a9c-4cb5-ad96-88e6a77cbca7","/","kiss_button_click","message","я тебя люблю!","\N","\N","1","2026-04-08 20:06:22","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","4dc98cd8-cea8-504c-b0ec-09c78b4f0cd8","ad9ecca0-953c-4935-ada3-734000cf57c6","/","spotify_goal_scored","device","mobile","\N","\N","1","2026-04-16 13:21:49","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","4dc98cd8-cea8-504c-b0ec-09c78b4f0cd8","ad9ecca0-953c-4935-ada3-734000cf57c6","/","spotify_goal_scored","theme","space","\N","\N","1","2026-04-16 13:21:49","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","731862d2-90d4-544a-8c66-5d4a9183ed30","89b760fa-b11e-42fd-adad-9b6e1389fab7","/marjork/","kiss_button_click","message","Horse Balls!","\N","\N","1","2026-03-26 03:39:02","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9883fd71-1911-5c3f-aa8c-dd7814cff2e1","4e619c96-23bb-4236-adb7-40165bb2c29d","/marjork/","kiss_button_click","message","красивая!","\N","\N","1","2026-03-25 21:02:51","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","85ea8f79-1315-5115-879b-56d993592575","f6d988c4-616c-4a1f-adba-430adc612dc2","/marjork/","kiss_button_click","message","красивая!","\N","\N","1","2026-03-26 14:18:10","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","09612782-2686-5fc3-a1b3-42244a1ab1ae","81efca10-da1b-4f5b-adc2-9bc82bbf45cd","/","kiss_button_click","message","Horse Balls!","\N","\N","1","2026-04-02 20:44:33","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","f55c8253-c6fb-5c5f-9d87-741699120d68","0b8d149c-0929-4642-adc5-bba842bf63ec","/","photo_click","file","blindingportal.jpg","\N","\N","1","2026-03-29 17:39:47","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","f55c8253-c6fb-5c5f-9d87-741699120d68","0b8d149c-0929-4642-adc5-bba842bf63ec","/","photo_click","theme","space","\N","\N","1","2026-03-29 17:39:47","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","b9b06b0f-3bda-5cd4-b24c-4d2a171b4a57","3864408c-5cb2-4186-add4-8e07f65de235","/","site_loaded","device","desktop","\N","\N","1","2026-03-27 14:51:38","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","b9b06b0f-3bda-5cd4-b24c-4d2a171b4a57","3864408c-5cb2-4186-add4-8e07f65de235","/","site_loaded","theme","retro","\N","\N","1","2026-03-27 14:51:38","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","09612782-2686-5fc3-a1b3-42244a1ab1ae","bad46541-0e06-4353-add5-fcf9079e87d0","/","kiss_button_click","message","я тебя люблю!","\N","\N","1","2026-04-02 17:48:02","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","bde2252f-00fc-58df-9642-78a68cbb03b7","ded36212-03ae-4557-add9-dea30daf7ce6","/marjork/","kiss_button_click","message","Horse Balls!","\N","\N","1","2026-03-26 18:29:19","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","ae57814b-a75f-5926-8baa-8d89046ae3d9","9fdee448-304d-4470-adf9-8fb9b27e1ce8","/","theme_change","theme","retro","\N","\N","1","2026-04-10 02:36:15","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","c367eed8-83a7-5473-be6b-a04a68b1f85b","ac2bc980-d403-40ca-ae09-17ab159ee582","/","kiss_button_click","message","☀️ solnyshko ☀️","\N","\N","1","2026-03-31 03:15:17","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","f55c8253-c6fb-5c5f-9d87-741699120d68","ef8f3581-8841-4de5-ae12-a44e0381716c","/","photo_click","file","quandry-05.jpg","\N","\N","1","2026-03-29 17:39:59","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","f55c8253-c6fb-5c5f-9d87-741699120d68","ef8f3581-8841-4de5-ae12-a44e0381716c","/","photo_click","theme","art","\N","\N","1","2026-03-29 17:39:59","\N"
